wtwmcnwh	.iritiawm (2) .wtwm (1)	n	
cnurukwtwmcnwh	.cnuliawvurwa  cnuTcauh cSokiritiawm (2) .cnurukwtwm (1)	m	
cnuDekwtwmcnwh	.cnurukwtwmcnwh (.s)	m	
cnuvwtwmcnwh	.cnuviritiawm (2) .cnuvwtwm (1)	m	
WlWmcnwh	.caeCcaea  cnwkcserwtwh ELugcneg cnWlufuailev iawgudUm	n	
iSumcnwh	.itea  ELugcneg cnEdubwdwa cSwncnuhIm (2) .eveawfiawdwh  cnehcaeDnwgunwn csogcnumwrukwmih uLok egItcnob  InUn .eveawfiawdcawb caeSwfunwn iawguLokIruk  egcaeaitcnob wtwvun ,caeDnwgiTwl Inwncnoaim  .ctWlWa ELugcneg cnWLwt iawgIheCcaea Erid (1)	n	
Omcnwh	.ObOb (.s)	a	
urIfcnwh	.ctWlWa ELugcneg cnwnWgiDukwl cnegiawkcaih  cSokctwtcnwh egIDwmiSwk iawgcaeLokiDukwl	n	
urwyimIfcnwh	.eveaWywnWf InWvurwtcawv im .eveaenWvilwb  cSwrwv uDnwgcswmiaWmwh egIm .caetwvWb egurwyim	n	
cnuLofcnwh	.cnuTcaen cSwLokiteaitea evurwm cnwhegiawg	m	
wdcnwh	.ilobwrwdnws  (2) .eveawfWLwf cnua InWncnuh iawgurEb egIm  .caeCcaea egutwvWbWLog ELuairid iawgudUm (1)	n	
itwfwyinwdcnwh	.ilobwrwdnws (.h)	n	
urwdcnwh	.evelwtWr wrWb wkEtws Ikwnwdurwb egIm .caenwzwv  wncnoa iawfiawdwh cnuDnwgwd iawkwTcSwmurik iheCcaea  (2) .cnwdwrub egulwtWr wrWbwkEtws (1)	n	
itwmwdcnwh	.ilobwrwdnws	n	
udcnwh	.urudcnem (.db)	n	
ilobudcnwh	.ilobwrwdnws (2) .itwmwdcnwh (1)	n	
cnumedcnwh	.cnurukikwv cnwh cnuhwm (2) .cnuLon cnwh (1)	m	
uDnwgcnwh	.evea imcsev Ikwtof WTcawhwlwb cTOpcnia cTOpcsckea  idwa .evetofWTcawhwb urwvElEb itekwt iaWlwdumwncneg  cnurwhwfuTOb Iaim .eveSwtogiruh csWdurwk  iteDob Inwncnoa iawfiawdwhim ,caetofuDob wncnoa  iawgumwTcswk ,iawguhia (4) .urwvitof egumwh ELugcneg  cnwrukunUtctwfwruk (3) .caeawbegumwh egcaeCcaeaErid  (2) .evekerebwncnoa iawfiawLwacSokUd iawSokunirehek  egumwh Iaim .caerebwncnoa iawgEgurudeaureb  iawkwTcSwmurukcswd cnwhwjureb (1)	n	
cnuLetuDnwgcnwh	.cnuhej iawguDnwgcnwh cnWrukcswd cnwhwjureb	m	
cnuhejuDnwgcnwh	.cnuLet cniawrcaud  :uzWjwm (3) .cnuhej urebwncnoa iawfiawLwa cSokUd  WSokunirehek egumwh WhwjcnWrukcswd iawgEgurudeaureb  (2) .cnulcSokunUt ctwfwruk cnuDnwgcnwh (1)	m	
iligcnwh	.itwfilihik (ukilwm)	n	
wrWkcsigcnwh	.caenWmwz IlWyiK egcnIretctwkwn	n	
iLWvwDcnwh	.WhImEh ejun ukWtcnukWt  EgnEn cnWruk caemwk csevcaea :uzWjwm	n	
iDcnwh	.caeaincnij wtwvun caeawtEruf cnehcnwa IlWyiK	n	
iDnoginuh iDcnwh	.evekeCcaea egiawluk  UdnIr ctwr ,itia itwm iSwkwrub Iaim .caeCcaea  wlwhwk caeairidwm ugidiawf wncnwa cSwDnwgcswgOLwf  wncnuh iawfevWf (2) .csIlibia uhwgOLwf (1)	n	
ctwhiDcnwh	.wDuk iDcnwh	n	
cnulcaehiDcnwh	.eveawgEret egcaenefwvuh Inwvcawtcnwkim  cSwrwhwfwnig .cnuvurEbinwm iawgIdin	m	
ilebnelehiDcnwh	.eveawniv  Edeh cSwrwvcaea Whwgwdeg wncnuh ctwf cSwrwtcawvctwf  ilebneleh Iaim .ilebneleh wycaEm	n	
erubiDcnwh	.WlifiDcnwh (.g)	n	
iLubiDcnwh	.WlifcsIk (.s)	n	
iSwkiDcnwh	.ilOlinof (.s)	n	
ctwfcnwkiDcnwh	.caeCcaea WLwf iawgurub egcaetwfcnwk cnuDnwgiDukwl  WdcnumwvIf (2) .ctwfcnwkIf (1)	n	
wnurwkiDcnwh	.caeCcaea wncnoa  iawfiawdwhurosea iawgiawfis egcaenwdwb cnWLwacsib  cswaiDcnwh (2) .wnurwk iaurukwd (1)	n	
wlwTcawkiDcnwh	.iDnogwlwhiv	n	
iSWkiDcnwh	.eveawlukihefuDwm Ikwawluk eguDnwgcswg  egIm .eveaenWvugid cSwrwviCcnia caea .eveSokinwh  Inwncnuh ctwf egIm .caeawniv EdehcSokirit	n	
iSnWkiDcnwh	.iSwkiDcnwh (.N)	n	
ctwfWnukiDcnwh	.WlifcsIk (ukilwm)	n	
urWncnukiDcnwh	.eveawLwa caekwtcSoa idukiduk iawgIm  .evekeawniv EdehcSokirit wncnuhctwf cSwkwtogurwtcawv  Wtwfilebneleh ,Iaim .caetwvWb egiawniv	n	
WrukiDcnwh	.eveawfiawLwfcaeLokurwn  iawgcaeLokcnwt wncnuh cnehcaekuf cnwdog ,InWncnuhWm  .evekeawniv egunimcsua WhiCcnia iawb  Edeh iawgEret egukwtcswgwniv Iaim .iauhWkokurok	n	
wDukiDcnwh	.ctwfcnwkWLub (3) .WmIf (2) .caelwm  wncnuh iawfiawLwf iawgiawfis egcaetwh cnuDwgcnib  WtivIfiDukwl wtwvun cnukwDnwgiDukwlIf (1)	n	
irukekiDcnwh	.irukekuDnwgWd (.b)	n	
oyekiDcnwh	.caehwg wncnwa caeDnwgWm  egurwtcawvObnwk wncnuhctwf cnehctwfuLodcnwk	n	
WkokiDcnwh	.evekelWkokwDuk egiawlukuduh wncnuh caekwtikitctwr  iawgiawyif Iaim .caelWkok wDukwDuk egcaetwvWb	n	
cswaiDcnwh	.caeCcaea  Erid uDob eruvcSwaea egutWz iDnoginuh iDcnwh	n	
WLuaiDcnwh	.caeawLua iSumiSwt wtwvun irUlcaib  unuLua cnegiawLwa cnunehcnwa egEjcaWrim iawguhia	n	
cSoviDcnwh	.caehwg  egcaetwvWb Edeh iawgEretulwv eguSwrcSwr caeawb	n	
uawmiDcnwh	.WmudUm (.s) (2) .eveawgiawfis  egcaeDnwgWm Inwncnuh im .caeCcaea wncnuh  iawgnWtcnwt wncnuh iawfiTcauh iaoa (1)	n	
wyomiDcnwh	.eveaenWvwnig cnunuh iawgumuvwyomim  .caeycawb egcaetwvWb EhejcSwncnunehcnwa	n	
cnwfiDcnwh	.cnwfwycaEm (2) .WlifcsIk (1)	n	
cnulcaifiDcnwh	.eveauDnwgEr  Inwv cawtcnwkim cniawnig cnuLoaugwm	m	
WlifiDcnwh	.oyekiDcnwh (.g)	n	
uLofiDcnwh	.caekwtihib wncnuh iawfireacnef ,Wgwncniawg	n	
ilOfiDcnwh	.ilOfwycaEm	n	
oyekcnodiDcnwh	.oyekiDcnwh (.h)	n	
ObnuliDcnwh	.ObnulwycaEm	n	
cnuDnekcawTiDcnwh	.eveaenEverukun caeawgwhWf  caeaWMid ikwvEviauDwaim .eveSwtog Evia uriaWDnwkcawT  cniawgnwa Inevia uDwa im .caeDwa Evia  WmInuboa uLwvwlihiawf ,iawdin cnuhIm uDnwgEr	m	
OTOTcnwh	.cnuvWviawfedwvuLwv  wgnwa ihejUr iawgunUm ,irevctwd ,eviLukcsum	n	
cnuvOTOTcnwh	.cnunwvuLwv  wgnwa ,ihejUriawgunUm irevctwd eviLukcsum	m	
wkwpwkwpcnwh	.uDwaegWrWr egIDugiawv (2) .iDugiawviteDob (1)	n	
Wjcnwh	.uawv WgwnWyir egItekwt WvcaudWruf	n	
iLubWjcnwh	.iLub  WLwa Wjcnwh (2) .iLub Wscawa Wjcnwh (1)	n	
cnuvekWjcnwh	.cnuscaea Wjcnwh iawgunWmurwf	m	
cnuLeaWjcnwh	.cnurubnea  caelwv iawgumunEb egcaelwjcnwh (2) ,cnuscaea  iawgILub ,Wjcnwh uhwfcSwmugenWyir (1)	m	
UgumWjcnwh	.uLokutwhwf egulwvWjcnwh	n	
cnuhejcnwh	.cnuhejcnwhudiv (3) .cnupcaih iawgurEb egISof  wtwvun egutof cnwh wLukuGWbid (2) .cnulufua  caeCcaea cnWliawgcnwa cSwkwywbWdcnitwmuDnwk  wtwvun ,cSwkwSwr WviawgIriawk idea cSwkwaIhea  cnegevWmidcaemwk irevurib iawgItwmuDnwk (1)	m	
wrwh	.urwh (.g)	n	
irehwrwh	.Wnwdurwh (2) .ihevcSwr (1) (.g)	an	
ctWkwrwh	.ctWrWxia (4) .cnulehEleh  (3) .cnuDugEDug (2) .uLokcaenwa egunEmih (1)	n	
iretctWkwrwh	.Everukcnwk (4) .iretcnugcnih  (3) .ilWrum (2) .igWvIh (1)	an	
cniretctWkwrwh	.cnuhIm Everukcnwk (4) .cnIretcnugcnih  (3) .cnuhIm ilWrum (2) .cnuhIm igWvIh (1)	n	
cnwkiretctWkwrwh	.cnwkEverukcnwk (4) .cnwkiretcnugcnih  (3) .cnwkilWrum (2) .cnwkigWvIh (1)	nan	
cnuviretctWkwrwh	.cnuverukcnwk (4) .cnuviretcnugcnih  (3) .cnuvilWrum (2) .cnuvigWvIh (1)	m	
WyiretctWkwrwh	.WhIm Everukcnwk (4) .WhIm iretcnugcnih  (3) .WhIm ilWrum (2) .WhIm igWvIh (1)	nan	
iLwvwrwh	.uLWvurwh (.s)	n	
uLWvwrwh	.uLWvurwh (ukilwm)	n	
ilwmwrwh	.irwvwncnuh iawfeviriawk cnWvurwh uriawncnwa  cSwyirwvirwv iawguhwg itekwt wdwfWvEm (.s)	an	
udwrwh	.udWvwhctelib (.db) (2) .udwrwh (1)	n	
wDnwgwrwh	.uDnwgurwh (.l)	n	
oDnwgwrwh	.uDnwgurwh (.s)	n	
WDnWrwh	.uDnwgurwh (.g)	n	
cnWrwh	.umWrwH (3)  .Wnwm iawgunId (2) .uLokidia egulWlwH (1)	an	
cswmuLwbcnWrwh	.caehwb ELuaenub cnutog  egumukcaed cnwkcten csevcSwkwtogcaea (2) .caehwbELua  enub cSwmuruk wdwfcaea WkwCcaea cnWrwh (1)	a	
irwkwbcnWrwh	.irwdulWlwhwn :uzWjwm	n	
cnwkcnWrwh	.cnwkWnwm iawgunId	n	
cawtcnwkcnWrwh	.cawtcnwk Wnwm iawgunId	n	
cnurukcnWrwh	.cnunub  cnWrukun cSwawlcaimwa caemwkwdcauh iawgunId	m	
urOkcnWrwh	.ctWnWyiK  WvcSwkwbihWs wtwvun cSwkwairev egWmit	an	
cnuvurOkcnWrwh	.cnuviretctWnWyiK  cSwkwbihWs cSwkwyirev egWmit	m	
wdwfcnWrwh	.caeLokiribnwtok  iawgEgim wdwfcnWrwh :ulWsim .cten csevcSwkwtogcaea  (2) .wdwfcaea iaWkwCcaea cnWrwh (1)	ka	
enWvwdwfcnWrwh	.wmwnwncnwv cSwaegea cnerwhwa enWvwdwfcnWrwh  :ulWsim .caehwb WnubcnWrukwdwg cSwmwkcnUn  (2) .enWvwdwfcaea iaWkwCcaea cnWrwh (1)	ka	
caeCcaOtwdwfcnWrwh	.eveSwmuvurukwdwg cswbinub EmwnWfId caeCcaea  WvIh cnehenEdun ,IneLuaenub cnehim .wmwnenEd  caeCcaOtwdwfcnWrwh :ulWsim .caehwbWnub cnWlcSokwdwg  cnWvuruk caemwkea ukeaWmuvirevcnudea cSwDob cnWvuruk  caemwk (2) .wmwnenWnub cniawgnwa WaWnEa cnerwhwa  caeCcaOtwdwfcnWrwh :ulWsim .caehwb Wnub cnutog  egumuLeawdwg cSwCcawm egumurukun caemwk (1)	ka	
irwdcnWrwh	.irwd ulWlwhwn	n	
WdWjumWrwh	.WhImWfwlun iawbun  (3) .WhImWrukcawtcnwk cSwmuscaej :uzWjwm (2)  .caehIm Wfwlun ELua iawgcaeawkwhWv IlWyiK (1)	n	
udWrwh	.uYurwx Wruk cnEdcaeCcaea cSwaWhImWvuLom WhImWvwred  iawgubWvuzWruk iaWrwviLukELuk (2) .IjWb (1)	n	
cnuaikudWrwh	.cnuLukWvuj  (3) .cnuremIjWb (2) .cnuruk uYurwx cnEdcaeCcaea  cSwaWhIm WvuLom WhImWvwred iawgubWvuzWruk  iaWrwviLukELuk cnegiawyikwdWv (1)	m	
irwh	.wkwhWv Wkcawd cSwLoked cnukwtWrwfed  (2) .ubWvuz wdwg (1) (.s.N)	n	
wmcnirwh	.WriaWd WvcnegevWnwm  (3) .cnwt wncnoa iawfcSokUd iawkwTcSwtikcsim  iawlunuLwv cnuhIm iawgEret ctikcsim (2)  .cnibwncnoa iawfcSokUd cnegiawSwv egnWtcnwtea  iawkwTcSwnwtcnwt wdwfctwrWyiz iaWtikcsim (1)	n	
Wlobirwh	.urwhwLud (.s)	n	
wdWvirwh	.wdWvwSwh (.s)	n	
cnuhejwdWvirwh	.cnurukwdWvwSwh (.s)	m	
wsirwh	.caeCcaeaWkunolWkcawk  cnegcSokcaea Wnwdog ,Wletig ,Whwmumwgcaea	n	
cnuhejirwh	.cnukcaed wkwhWv  cnutog egumuruk wdwg cswbegcaehImea ukeaWmukcaed  ulIlwd cSwLoked udemWkwmwk ukwhImed (.s.N)	m	
WrIrwh	.caemwnWyik cSwncnunehcnwa (2)  .caemiaub wloa inof Wdwh iawgurikireg (1)	n	
urwh	eg (.db) (16) .cSokurwh cSwrwv Iawyid  WnEa :ulWsim .urWb (15) .evemIfcSokurwh wyifed  urWhim iawgulwm Wdwhim cnerwhwa :ulWsim .ctwt  WvcaeCcawkenwa iawgcaeCcaea (14) .eveawgIlevudurwh  emcnea egEa Iawyid cSwaeluLuh uhwvudea  gcnikIs :ulWsim .iaulwh (13) .Wnwdurwh  (12) .irevidcaub (11) urWycawt WvcSwmuvcnod  csiawa cnumwvWkcawf itekwt wdwfWvEm iaWaIrWkurwt  (10) .uLwgnwr WvcSwDnwgiSwh cnubwbws eguhEburwh  (9) (.evemutoa uvcawj cSwkwtog wlwhwk enWdevutwa  wrWscaiv emcnedemcned IkwmuvwL itwmiawv)  .eveawmIlevurwh itwmiawv InWvcnwruf :ulWsim  .ctogWv cnumuDnek cnwkwL itwmiawv (8) .uLokidia  egumwkwL (7) .uLokidia eguDwm (6) .an .urwh  ulwkcsiawb ,urwhiDwb ,urwhWyil :ulWsim .ihiCcaea  wncnuh iawfiawdwh cSwtogctogikea cnWbcait wtwvun  cnWTcawhwb ihiCcaea caeawb (5) .itea wncnuh  iawfcSokurwh iawgutib cnWTcawhwb itekwt wdwfiDnwk  ,ugnwlod ,iLwvcaOf (4) .iDnwd wtwvun unoa  wncnuh iawfednwb iLwg cnWrwa cSwCcawm (3) .iLwg  wncnwb iawgukur cnWrwa cSwkur (2) .uLwvOl wncnok  iawgumib cnELua itekwt wdwfWdIm iaWNcnukwk (1)		
itwfcSwhurwh	.ilwb Evekun  iheCcaea cnubwbws egumuvwLud Ud cnEretea (.L)	n	
wnwhurwh	.cswf WrukurEb cnurwhinih	n	
imedcnurwh	.caeCcaea Wkideh wncnuh iawfiawlurukwh iawlulet  cnegiawmwd cnurwh Wmwd cnwpcawaiDia (.s)	n	
cswburwh	.caehwb  emcnok Wviawgumwk caetwhEswn wtwvun WvcSwkwaIhwn  wtwvun WvcSwkwrumwa cniaeret egukwtcswbIbwdwa	n	
ihiburwh	.eveaeruh ukwhwvud cawtea evunwhEswfevunuDob  ihibim .ihibwncnuh cSokurwh cSokunUtcnut	n	
Iburwh	.iretctWvWdwA Wncnumilcsum (3) .WrukwmWrugnwh  cSwLoked Wncnumilcsum (2) .an .wvwl  Emuf iaWawvwl Whwj iawgureb uriaWvwncnwgiawDwv  iawgutwzcaiA ukwLufEb WvwncnwgiawDwv  iawgumWqwm egcnudwr wtwvun cnudwr (1)	n	
...iLukcsumItwm Iburwh	.caetwvWb egiawvwl Itwmwvwl  Whwj iawgurebiDnwd .n "wvwliLukcsumItwm Iburwh"		
cnurwfWkIburwh	. cnurwfWk WrukwmWrugnwh Wncnumilcsum  (2) .evekerwfWk Iburwh Wkcawf IkwluhwjUbwa :ulWsim  .cnurwfWk iretctwvWdwA iaWncnumilcsum (1)	n	
cnugnih cSwaIburwh	.evekemwk Wvcawruk uLufcswd cnuLufEb  cnehirif EreturwvuDnwg iawguhia Iaim .cnugnih  cnumwLwa uLwvwyif cSwtogWvwmwh cSwaIburwh	m	
wvwlItwmIburwh	.wvwl Whwj cSwCcawmwvwl  egureb igcnwb uhwvududIA iaWhwvudurukuh	n	
csEburwh	.csEbilih (3) .csEb Wlih cnEdcnWk  iawkwTcSwmuvurukurwh uDnwgiSwh cnegiawhiv cnunehcnwa  (2) .csEb Wruk cnWvulif cnwkiawL cnegimin  cSokcsEb ihevid cSwycawbilwb caeawb (1)	n	
ctwbiDnoburwh	.ctwbiDnobctwt (2) .csEbilih (1)	n	
iSwkurwh	.wDukumuHwr  (7) .uDobcnwkivwdwbwdwg (6) .ctenctogEbnel  iaWtogEboa (5) .an .evekehIm iSwkurwh  cSwrwv IkwmIhWrubia :ulWsim .iruhcaetogwlcaimwa  WrukunUdctog :uzWjwm (4) .cnureaWrwa iSwkcaea  (3) .urwhWviawfev cSwrwv Ebnelun cnuLuhuLuh  csogcnegev uriawnig Wtivurwm caeCcaea iruhwnWruf  (2) .iSwkEveluniawbnwl ,Eveluniawboa (1)	n	
cnwkiSwkurwh	.eveDob  cSwrwv cnwkiSwkurwh egWnEa :ulWsim .cnwkWrukunUd  (2) .uLokidia egumwkiritiawmuDwm (1)	nan	
cnuviSwkurwh	.eveaenWviSwkurwh cSwrwv WnEa iawgudem WnuhIm  ELugcneg :ulWsim .cnuvcSwkwhIm WrukunUdctog :uzWjwm  (5) .cnutenctog itenwyin iawgumurukcawtcnwk  (4) .cnuvwDukumuHwr (3) .cnuviSwkcaea (2)  .cnuten ctogEveliawbnwl iaWtogEveliawboa (1)	m	
cnwkurwh	.cnwkiaulwh egumuvud (3)  .cnwkWnwdurwh (2) .cnwkctenctogEboa (1)	nan	
cnurukurwh	.cnurukurWb cnuvud (9) .cnurukurwycawhiDoa (8)  .cnukcaih iawkcawk itekwt wdwfWTem (7) .cnuawneg  cnwkwdwg (6) .cnuTcaeheleb iawvuridcswgcaur  (5) .cnurukurwh iawhwjcnWt itekwt wdwfitof  (4) .cnuTcaeheb iawguhwg cnedcneDnek cnwkwL itekwt  WLwa iawguhwgcswg (3) .cnuawneg cnwkurwh Wrubnwa  itekwt wdwf uawvunwn (2) .cnudeh ctogenWncnuh  iawfiTcaehefih caeCcawkcaenwa iawgcaeCcaea (1)	m	
cnuhIm egiawlukurwh	.cnirevidcaub (3) .cnuhIm Wnwdurwh  Ebit iawgcaeSwr (2) .cnuhIm iruhurwdwq (1)	n	
cSokurwh	.cSwrWb (3) .cSokiaulwh (2) .cSwhwvwa (1)	ak	
uDwaurwh	.uDwawdwg (2) .uDwaurWb (1)	n	
urwvurwh	.wncnwa cnumwvurwh (2)  .Wviawfiawlihej cSwCcawm eruvcSwrumuA udem (1)	an	
iLwvurwh	.uLWvurwh (.s)	n	
uLWvurwh	.eveawfiawhwf cnikwv irukiawfed  iawfiawl cSwf wncnwa Inwncnuhim .caemWrEf  WlcniDwa cnwrukWvin udemed WlukwkWLUf	n	
uDnwgWd uLWvurwh	.cSwf Wviawfiawvcawl cSwaeret  uSwfwncnwa cnWscawa ItwmuDnwgwnua uLWvurwh	n	
cnuvurwh	.cnuviSod eruvcSwrumua :uzWjwm (10) .uLokidia  egumuviawL .n (9) .cnuvctwt itwkenwa iawgcaeCcaea  (8) .cnuvirevidcaub (7) .cnuvuLwgnwr uDnwgiSwh  cnubwbws eguhEburwh (6) .cnuDnek cnwkwLitwmiawv  (5) .cnuDnek cnwkwL (4) .cnuruhiawfiTcaehefih  cSwrwvETcaevun (3) .cnuvctwt caeCcawkenwa  WkwCcaea (2) .cnuviriawk cnWvcnodWvEm (1)	m	
Wyinwmurwh	.caetWlWa egukizuaim  ELugcneg cnWhwjugWr cnegiawdcawv iawvcnutwa	n	
iDwbItwmurwh	.eveawgItwmurwh  InELugcneg iDwbim .iDwbuDob egurwviduk	n	
clwmurwh	.eveaeruh cawtwluk utWfwt egIm .cSoa eguhwgim (2)  .caehwg WLwacaeSoa WrukcnunEb cSwhEbihevid (1)	n	
cnuhImurwh	.cnuhImIvcswvud (5)  .cnuhIm Wnwdurwh (4) .cnuhIm WvcnegeviSovumwk  (3) .cniretctwzcaiA (2) .cnirevurwdwq (1)	n	
Wdumurwh	.Wdum wncnuh evunukWlwh cnedcnwv cswvudwnig  (2) .Wnwhwg iaWrWvcnwkiheveg (1)	n	
wfurwh	.eveaeLua cseviheCcaea  iteDob cSwrwv egIm .eveaeruh caeawhiv wdwg  cSwrwv iawgutwd egiawfurwh caeawb .eveaeruh caetwvWb  emcnwtik egIm .caepctUs eguDWf itwguncnwn	n	
whivwfurwh	.whivWv cnubwbws egumulwhivwfurwh  (2) .WdcaWm egiawhiv wncnuh egiawfurwh (1)	n	
ctumwfurwh	.Wrohom (2) .eveaevenub  cSwmwk iawgISwheretea egiawfurwh Inedefua ulcBwa  egIm .caeawlih Wmwdwhiv cnuDnwgiSwh (1)	n	
iludwfurwh	.Wdivulwh (ukilwm)	n	
cnurea cSwtwfurwh	.eveaitencaeawrUjua IneLua cSokcnwkim  iawguhia .cnubil wdcauh egumuruk urukuh	m	
cnEkutwfurwh	.cnEkireacSwtwfurwh  (2) .caemuaek unuLuaId cSwncnutiycawr uhwfcSwmuruk  urukuh wmwtwruf cnubItwK eguSwrcSwr (1)	n	
ctwfurwh	.cawtWlwHurwm  egcaemwk :uzWjwm (4) .iDis (3) .uawg wtwvun Wlif  wncnuh cnWLwaiawf iawguDnwgurwh (2) .uDnwgurwh  wncnuh iawfiawdwh cnukwCcaea csevcnUnea wtwvun  cnulwg wtwvun cniawlif cnwbiawfWrwa (1)	n	
cswfurwh	.urwhuDnwgilev	an	
cSufurwh	.caeCcaeaWk wncnuh iawfiawlih  cnegiawLwa WSuf iaWrukwh WNcnuh (L)	n	
iDnwdurwh	.eveawmIviSwkurwh evuriawnig Wtivurwm Inwnub  EaejcaeviDnwdurwh evurwm :ulWsim .Wviawfevuriawnig  evurwm (2) .eveSwmugcnea cnwkIdin  cSwywdwgWm Inwnub EaejcaeviDnwdurwhiawdin  :ulWsim .Wviawfiawdin cSwywdwg (1)	an	
cnuviDnwdurwh	.cnudin cSwywdwg (2)  .cnuviSwkurwh cnegevuriawnig WtWvurwm (1)	m	
Wnwdurwh	.uLwgnwr cawtudiaWvwq egumuLua (2)  .wncnuhevutibWs iawgcaelUsua uLwgnwr (1)	an	
cnwkWnwdurwh	.cnwkuLwgnwr cawtudiAWvwq egumuLua (2) .cnwkwncnuh  evutibWs iawgcaelUsua uLwgnwr (1)	nan	
cnuvWnwdurwh	.cnuvuLwgnwr cawtudiAWvwq egumuLua (2)  .cnuruhevutibWs iawgcaelUBua uLwgnwr (1)	m	
udurwh	.udWvwhctelib (.db)	n	
iLoturwh	.iLoturWyiDnwf	n	
cnuruhiawlurwh	.cnuruh iawlifuncswv  (S) .cnuruh iawlifun cnunWdnwh (h) :ulWsim  .cnuruh iawlifun (4) .cnuviawfiTcaehefih (3)  cnuviawfevctogWDugun (2) cnuviawfevctwt (1)	m	
cnulurwh	.cnuruhiawfiTcaehefih (4) .cnuvctogWDugun  (3) .cnuvctwt (2) .cnuvurwh (1)	m	
uDnwgurwh	.iboaWmwd cnwpcawaiDia  (4) .iteawncnuh iawfiawLwaWlif cSwywbiawb  iawfiawhwjiawf cSwmuTcaeheb itekwt (3) .iLwg  wncnwbiawgIDis (2) .iDisELugcneg cnegedwbiLwg  cSokcaea iDnwded cnWrwa cSwnwtcnwt (1)	n	
egurwh	.egwncnuh iawfcSokWyiK iawkwTcSwmunEb  umcnWA ikeaikea ELuaun cSokwdWa cnuhIm  (2) .egWTcawhwb iawfiawl urwhwfinOdiDoa (1)	n	
ijurwh	(uFirwA) .ITis Wvunof ideacSwkwmwk (ukilwm)	n	
wLWverwh	.uLWvurwh (.g)	n	
orwh	.urwh (.s.N)	n	
iSorwh	.urWbwmwhiruf egutwycainWscnia  (3) .wnWdwLuk (2) .Wnwdurwh (1)	an	
Wkihugnorwh	.eveaeruh  iawgiawbItwm eguSwduDnwb egutwfUgincaefwl egiawlukuLwk  .eveawgiawlukihef Inwncnuh ctwfUgin .eveaeruh  cnwncnef cSokuLWf ugornwh WLuf egiawlukcjcneroa  cSwgid eguhwm cSwairit cnegiSef cniriawkItwm eguhwm  .eveawlukubnwd Ikwawluk eguhwm .caetwvWbegWkih	n	
wLWvorwh	.uLWvurwh (.N)	n	
ilwmorwh	.evetWfwt  egIrwv Iaea ,irwv wncnuh iawfeviriawk cnWvurwh  uriawncnuh iawguhwg itekwt wdwfWvEm (.N)	an	
iSOrwh	.uDnwgurwh ELugcneg cnWrwa cSwnwtcnwt	n	
wdOrwh	.evencnegiSef cnuhwvud  udIauLwv ,IneLuaiawfih cSokumcaWA wdOrwh im .wdOrwh  ctwncnus wncnoa cnwfih iawgEretuhwmulWvcawx	n	
wbwh	.itekwtWfud WLwacSwywgnwa cSwrwvEruf	n	
urwbwh	.caeCcaeaikih  egiawlukuLwk ,wdwgwhwritih ELugcneg cSwhEb	n	
Eburwbwh	.evekehIm unuLua WlwrWf enwgiawLwa Wncnulwbnwkea  cnegevWtih Wncnunehcnwa cniawbcnitwm  IkwaWnIm .cnwnwv egcaehIm unuLua iawguhia	n	
cnudehEburwbwh	.cnuLua iawlwrWf cnegenwgiawLwa  cnegevWtih Wncnunehcnwa cniawbcnitwm	m	
inwfurwbwh	.caeNcnwf Wvudcswvurwbwh  ELua iawgEretumib (.L) (2) .inwfWrig cnegiawLwa  iawbwncnoa iawgEretutwf eguhwgurwbwh (1)	n	
cswgurwbwh	.evekeCcaea urIm  inif IkwNcnwfWrig cnegiawLwaim .eveaeruh caeCcaea  egiawluk irUlcaib wlwhwk caeDnwt Wdivulwh iawgEret  egutwf eguhwgim .caehwg wncnuhctwf cSokcswmiDnob  iawfideh cSokiduk cnehcswgilutus	n	
cnuLeawbwh	.cnuLea iheCcaeaWfud cnedcnEruf cSwywgnwa	m	
wdwbwh	.cnehcnwa (.db)	an	
urwviawrcswbwh	.urwviawr Wvcnegivelukea cnuhwbwh	n	
urubwh	.cswmWvuLwkwDuk (.db)	n	
cnIsubwh	.cnurubwb	n	
csEbwh	.urWbWl cnWmwd cSwlwvWv	n	
cnurukcsEbwh	.cnurukcnWv iawmwd cSwlwvWv  (2) .cnuaid cnumwgwniligwn egugnOzuawn (1)	m	
wLwh	.wkws (4) .ubWvuz Wruk cSwawdwg WlcaELwh  cnutogWsWmws :uzWjwm (3) .iawvwdwg egumusUm  iawvuria (2) .udemed iaWmuvcsuh ctwkwn wnwvcnit  eruscaInuSef ctwkwnwnwved egiawvuria (1)	n	
ugnwLwh	.unOriLufik ELugcneg cnWLok itekwtwdwf inOdiDoa	n	
cnuvcaiLwgcnwLwh	.eveaenubcnehim  cseviawmISef cnWvwyid cnurwhwfinOd  .cnuTcaen ugnwLwh wncnuhiawfiawLok urwhwfinOd	m	
cnuhejwLwh	!Wlwb "wLwh " (4) cnutwgctWrwkws  cSokwdwguDwa :uzWjwm (3) .cnuhejiawvwdwg cnitwmuria  (2) .cnuhej iawvwdwg egumusUmwLwh (1)	m	
iLwh	.ilEf (.db)	n	
WniawbiLwh	.cniawbiLwh (.g)	n	
cniawbiLwh	.uDnwgunwn wtwvun ,uDnwgurWm Wscawa  cSokcaea WDnwgcawlum uLokcswfuLok iaWnWgcnuh	n	
